currency_daily_BTC_CNY (1)
timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-06-12,237524.72275000,238362.34587500,220144.79050000,226162.12487500,37331.98000000,37463.63000000,34600.36000000,35546.11000000,87717.54999000,87717.54999000
2021-06-11,233362.69337500,239741.54500000,228647.69912500,237524.72275000,36677.83000000,37680.40000000,35936.77000000,37331.98000000,78466.00530000,78466.00530000
2021-06-10,237881.46812500,244898.98750000,227662.97500000,233349.26850000,37388.05000000,38491.00000000,35782.00000000,36675.72000000,109527.28494300,109527.28494300
2021-06-09,212385.34000000,238815.10137500,206124.76725000,237881.46812500,33380.80000000,37534.79000000,32396.82000000,37388.05000000,136607.59751700,136607.59751700
2021-06-08,213506.15800000,216757.71362500,197237.50000000,212385.40362500,33556.96000000,34068.01000000,31000.00000000,33380.81000000,123251.18903700,123251.18903700
2021-06-07,227754.02237500,234776.25000000,211871.25000000,213479.62637500,35796.31000000,36900.00000000,33300.00000000,33552.79000000,77574.95257300,77574.95257300
2021-06-06,225970.99537500,232104.00000000,224099.97500000,227754.02237500,35516.07000000,36480.00000000,35222.00000000,35796.31000000,47650.20663700,47650.20663700
2021-06-05,234325.46687500,241297.81250000,221415.00000000,225952.73500000,36829.15000000,37925.00000000,34800.00000000,35513.20000000,70459.62149000,70459.62149000
2021-06-04,249707.63775000,249976.70787500,226219.64187500,234324.51250000,39246.78000000,39289.07000000,35555.15000000,36829.00000000,91317.79924500,91317.79924500
2021-06-03,239030.72650000,251166.05000000,236494.12500000,249707.70137500,37568.68000000,39476.00000000,37170.00000000,39246.79000000,75889.10601100,75889.10601100
2021-06-02,233470.98312500,243206.56250000,228541.00000000,239030.72650000,36694.85000000,38225.00000000,35920.00000000,37568.68000000,67587.37249500,67587.37249500
2021-06-01,237027.42975000,241105.72862500,226924.92500000,233459.78512500,37253.82000000,37894.81000000,35666.00000000,36693.09000000,81234.66377000,81234.66377000
2021-05-31,226767.51675000,238587.38750000,217303.80700000,237027.36612500,35641.26000000,37499.00000000,34153.84000000,37253.81000000,94160.73528900,94160.73528900
2021-05-30,220175.26687500,232154.90000000,212373.88750000,226767.58037500,34605.15000000,36488.00000000,33379.00000000,35641.27000000,73535.38696700,73535.38696700
2021-05-29,226898.13887500,237566.71525000,213988.43550000,220175.26687500,35661.79000000,37338.58000000,33632.76000000,34605.15000000,112663.09268900,112663.09268900
2021-05-28,245147.06137500,247360.19337500,220676.95000000,226908.95512500,38529.99000000,38877.83000000,34684.00000000,35663.49000000,135377.62972000,135377.62972000
2021-05-27,249676.71600000,257115.87825000,236266.79287500,245146.99775000,39241.92000000,40411.14000000,37134.27000000,38529.98000000,86547.15879400,86547.15879400
