,prices,market_caps,total_volumes
34,"[1620604800000, 58213.926293744385]","[1620604800000, 1088903483393.3053]","[1620604800000, 67906284080.6139]"
35,"[1620691200000, 55901.66759456145]","[1620691200000, 1045714370754.1615]","[1620691200000, 76672978747.69038]"
36,"[1620777600000, 56928.97235660158]","[1620777600000, 1064993057463.8884]","[1620777600000, 67726708140.565094]"
37,"[1620864000000, 50004.76218313686]","[1620864000000, 935512493150.826]","[1620864000000, 75523928654.34041]"
38,"[1620950400000, 49972.795398372444]","[1620950400000, 934964766185.9642]","[1620950400000, 104203551167.93765]"
39,"[1621036800000, 49913.26314398822]","[1621036800000, 935962705739.4398]","[1621036800000, 56820196964.51265]"
40,"[1621123200000, 46780.902304688214]","[1621123200000, 875321252276.1078]","[1621123200000, 62896879696.14898]"
41,"[1621209600000, 46585.06413538846]","[1621209600000, 871695620615.745]","[1621209600000, 70636455913.96016]"
42,"[1621296000000, 43780.82559782485]","[1621296000000, 819256623328.7307]","[1621296000000, 84054878923.85199]"
43,"[1621382400000, 43091.04144756922]","[1621382400000, 800545278567.6873]","[1621382400000, 65037066859.11668]"
44,"[1621468800000, 37287.39140242737]","[1621468800000, 697785056487.6051]","[1621468800000, 141151477374.61298]"
45,"[1621555200000, 40437.73009625558]","[1621555200000, 759679496751.2783]","[1621555200000, 95001812130.50996]"
46,"[1621641600000, 37339.63420134628]","[1621641600000, 698762712553.7339]","[1621641600000, 88706010988.29123]"
47,"[1621728000000, 37520.31767547438]","[1621728000000, 702143968883.5249]","[1621728000000, 61178935273.653305]"
48,"[1621814400000, 34977.527801962424]","[1621814400000, 654558962027.5841]","[1621814400000, 84358034875.51308]"
49,"[1621900800000, 38642.4422973396]","[1621900800000, 723143072419.7241]","[1621900800000, 71163197727.3351]"
50,"[1621987200000, 38210.80521759389]","[1621987200000, 715248689989.8947]","[1621987200000, 48724794157.985054]"
51,"[1622073600000, 39406.934244116186]","[1622073600000, 737668726732.3829]","[1622073600000, 47026386118.47242]"
52,"[1622160000000, 38642.89555434217]","[1622160000000, 723137484747.1467]","[1622160000000, 40836817155.71973]"
53,"[1622246400000, 35710.220936529884]","[1622246400000, 668521654364.6696]","[1622246400000, 49991590067.73797]"
54,"[1622332800000, 34775.07941347281]","[1622332800000, 654239808356.6592]","[1622332800000, 43184025044.772804]"
55,"[1622419200000, 35714.75202018067]","[1622419200000, 668664301773.5417]","[1622419200000, 30650274657.695255]"
56,"[1622505600000, 37340.6792659422]","[1622505600000, 699138611681.2975]","[1622505600000, 37950798680.48171]"
57,"[1622592000000, 36680.06820180283]","[1622592000000, 688726381047.1788]","[1622592000000, 33536905027.710236]"
58,"[1622678400000, 37685.71798174826]","[1622678400000, 704531333543.3906]","[1622678400000, 31240691604.199257]"
59,"[1622764800000, 39151.316183800314]","[1622764800000, 733150718114.4554]","[1622764800000, 33396718844.557133]"
60,"[1622851200000, 36938.72031139185]","[1622851200000, 691747462828.3618]","[1622851200000, 39345490149.31464]"
61,"[1622937600000, 35546.98596483364]","[1622937600000, 662913486273.3402]","[1622937600000, 34068172835.766655]"
62,"[1623024000000, 35834.4744744042]","[1623024000000, 671131079523.7289]","[1623024000000, 27689283070.836933]"
63,"[1623110400000, 33451.38340714534]","[1623110400000, 626527049947.8439]","[1623110400000, 33345528753.340153]"
64,"[1623196800000, 33557.15068309184]","[1623196800000, 629018966290.4011]","[1623196800000, 46727462986.366455]"
65,"[1623283200000, 37553.64375851888]","[1623283200000, 705292677171.4633]","[1623283200000, 54511387836.11497]"
66,"[1623369600000, 36903.304906778896]","[1623369600000, 691681868464.4717]","[1623369600000, 42952476854.83458]"
67,"[1623456000000, 37289.43252210222]","[1623456000000, 698528023663.5321]","[1623456000000, 36358044262.709755]"
68,"[1623542400000, 35666.14977877309]","[1623542400000, 668148892256.3638]","[1623542400000, 35710196743.32056]"
69,"[1623628800000, 39147.70567879997]","[1623628800000, 733402631079.1185]","[1623628800000, 38185633278.287155]"
70,"[1623715200000, 40624.51305316154]","[1623715200000, 761104314502.2867]","[1623715200000, 45836408439.45157]"
71,"[1623801600000, 40378.20254971114]","[1623801600000, 756522207420.3483]","[1623801600000, 36706248352.237144]"
72,"[1623888000000, 38321.454656574206]","[1623888000000, 718016373177.285]","[1623888000000, 36563438889.78541]"
73,"[1623974400000, 38193.619141943964]","[1623974400000, 715652442155.1261]","[1623974400000, 36330237284.41833]"
74,"[1624060800000, 35881.11137137543]","[1624060800000, 673761687974.4922]","[1624060800000, 35162612172.75275]"
75,"[1624147200000, 35581.64226773201]","[1624147200000, 666901325910.3705]","[1624147200000, 28858979691.78587]"
76,"[1624233600000, 35787.07740523232]","[1624233600000, 670634370556.6146]","[1624233600000, 35609127163.62243]"
77,"[1624320000000, 31711.935467727006]","[1624320000000, 598335733135.868]","[1624320000000, 51873870276.52254]"
78,"[1624406400000, 32507.738707026845]","[1624406400000, 606580031922.7239]","[1624406400000, 57443014757.92467]"
79,"[1624492800000, 33702.61779371396]","[1624492800000, 631634847766.2311]","[1624492800000, 39798236962.44067]"
80,"[1624579200000, 34675.44910530336]","[1624579200000, 650340461975.8141]","[1624579200000, 31862051544.349895]"
81,"[1624665600000, 31943.136467863093]","[1624665600000, 598703019611.4526]","[1624665600000, 38635245431.3565]"
82,"[1624752000000, 32023.973901774916]","[1624752000000, 600235334320.8247]","[1624752000000, 36873109419.90242]"
83,"[1624838400000, 34607.293274083386]","[1624838400000, 649262127990.3759]","[1624838400000, 34335452117.32629]"
84,"[1624924800000, 34556.8421269449]","[1624924800000, 647741224116.9337]","[1624924800000, 32453802891.01519]"
85,"[1625011200000, 35968.993667970346]","[1625011200000, 674231340724.4149]","[1625011200000, 35121257875.54662]"
86,"[1625097600000, 35171.486304850056]","[1625097600000, 660200427590.4775]","[1625097600000, 31024153846.878517]"
87,"[1625184000000, 33677.566235922626]","[1625184000000, 629863895571.7473]","[1625184000000, 29129630236.14075]"
88,"[1625270400000, 33950.786555181]","[1625270400000, 633684390025.5607]","[1625270400000, 25084046353.169456]"
89,"[1625356800000, 34729.89077801021]","[1625356800000, 650382046624.6503]","[1625356800000, 22986053604.70427]"
90,"[1625443200000, 35394.213074080915]","[1625443200000, 663571591568.1959]","[1625443200000, 22727930417.748825]"
91,"[1625529600000, 33928.13421837147]","[1625529600000, 636061920914.8282]","[1625529600000, 25894820184.74507]"
92,"[1625616000000, 34149.98981477412]","[1625616000000, 640405812761.686]","[1625616000000, 26106856611.92326]"
93,"[1625702400000, 33932.25463831538]","[1625702400000, 636246944189.2604]","[1625702400000, 23692220470.135063]"
94,"[1625788800000, 32933.578199292395]","[1625788800000, 617861633771.9894]","[1625788800000, 29065577052.29722]"
95,"[1625875200000, 33971.297749757956]","[1625875200000, 637000370375.4657]","[1625875200000, 24282108111.21572]"
96,"[1625961600000, 33704.53847440508]","[1625961600000, 632185737683.1548]","[1625961600000, 20558304483.59407]"
97,"[1626048000000, 34299.938016517444]","[1626048000000, 643335853171.1349]","[1626048000000, 17798828844.27227]"
98,"[1626134400000, 33262.6543524462]","[1626134400000, 623350567666.981]","[1626134400000, 21683885320.611263]"
99,"[1626220800000, 32676.38380096018]","[1626220800000, 613002045101.37]","[1626220800000, 19932531699.624603]"
100,"[1626307200000, 32878.50187357147]","[1626307200000, 616691143979.958]","[1626307200000, 21779069066.445965]"
101,"[1626393600000, 31726.038833909817]","[1626393600000, 595342431373.8641]","[1626393600000, 21557729227.284348]"
102,"[1626480000000, 31399.653128682126]","[1626480000000, 588495008675.5178]","[1626480000000, 22671859962.66356]"
103,"[1626566400000, 31588.6713510167]","[1626566400000, 592581931071.2119]","[1626566400000, 17715455994.789402]"
104,"[1626652800000, 31919.393922554555]","[1626652800000, 597872278369.1111]","[1626652800000, 17742105807.895496]"
105,"[1626739200000, 30928.211908849244]","[1626739200000, 580252472382.7122]","[1626739200000, 20095540828.295692]"
106,"[1626825600000, 29971.903783612062]","[1626825600000, 561743228116.5483]","[1626825600000, 23000299061.896305]"
107,"[1626912000000, 32383.78112696872]","[1626912000000, 605357009416.7555]","[1626912000000, 29070652059.995018]"
108,"[1626998400000, 32409.499767175417]","[1626998400000, 607621607805.3499]","[1626998400000, 19741588059.45234]"
109,"[1627084800000, 33455.55127272261]","[1627084800000, 627747173675.4332]","[1627084800000, 22937379734.633812]"
110,"[1627171200000, 34213.59993217662]","[1627171200000, 642012590040.6406]","[1627171200000, 22120323672.367214]"
111,"[1627257600000, 35456.124660766836]","[1627257600000, 664681184168.7764]","[1627257600000, 20929083220.53677]"
112,"[1627344000000, 37281.91809217662]","[1627344000000, 701921012034.6644]","[1627344000000, 53550491997.72306]"
113,"[1627430400000, 39076.59377063225]","[1627430400000, 732311951673.3547]","[1627430400000, 36401287454.43055]"
114,"[1627516800000, 40031.19824444798]","[1627516800000, 751371299910.5153]","[1627516800000, 41369107422.717026]"
115,"[1627603200000, 39977.75693922764]","[1627603200000, 750407963580.4731]","[1627603200000, 28717414113.01727]"
116,"[1627689600000, 41936.261478677225]","[1627689600000, 786531956383.648]","[1627689600000, 35530501782.520935]"
117,"[1627776000000, 41754.16660435275]","[1627776000000, 784039345926.1898]","[1627776000000, 28437941447.49927]"
118,"[1627862400000, 39914.82975848789]","[1627862400000, 747403845431.8284]","[1627862400000, 28555173661.663795]"
119,"[1627948800000, 39278.766508103676]","[1627948800000, 737440183775.5553]","[1627948800000, 28057528866.262108]"
120,"[1628035200000, 38368.35401197897]","[1628035200000, 720835141114.3336]","[1628035200000, 28422901237.16951]"
121,"[1628121600000, 39751.58457509862]","[1628121600000, 747085951935.0547]","[1628121600000, 27751046040.329308]"
122,"[1628208000000, 40825.381940449704]","[1628208000000, 768416417393.5968]","[1628208000000, 38527930905.31518]"
123,"[1628294400000, 42802.13717474142]","[1628294400000, 803853127161.2805]","[1628294400000, 40840608016.843094]"
124,"[1628380800000, 44647.57760300116]","[1628380800000, 838457486987.6113]","[1628380800000, 42725276705.46515]"
125,"[1628467200000, 43753.217862646314]","[1628467200000, 821704814136.0109]","[1628467200000, 39633218478.615295]"
126,"[1628553600000, 46311.00189857689]","[1628553600000, 861862844505.6104]","[1628553600000, 42726733997.85781]"
127,"[1628640000000, 45639.51401890709]","[1628640000000, 854344953098.7552]","[1628640000000, 35669862361.54627]"
128,"[1628726400000, 45652.06012506926]","[1628726400000, 857660568377.3856]","[1628726400000, 35679832771.371475]"
129,"[1628812800000, 44495.20979327958]","[1628812800000, 836054770491.896]","[1628812800000, 35838614930.04035]"
130,"[1628899200000, 47717.27052766495]","[1628899200000, 895084141168.7996]","[1628899200000, 34320865037.164627]"
131,"[1628985600000, 47088.85313451467]","[1628985600000, 886593539912.8141]","[1628985600000, 33294851810.64847]"
132,"[1629072000000, 47025.00323011282]","[1629072000000, 882888202377.7089]","[1629072000000, 32863850458.005253]"
133,"[1629158400000, 46031.75754362583]","[1629158400000, 866391335029.3693]","[1629158400000, 34221605780.00136]"
134,"[1629244800000, 44534.454854219905]","[1629244800000, 836777066605.9799]","[1629244800000, 34488116651.18446]"
135,"[1629331200000, 45015.46554608543]","[1629331200000, 847143004614.999]","[1629331200000, 34668999387.83819]"
136,"[1629417600000, 46745.03462296988]","[1629417600000, 867650725472.864]","[1629417600000, 38434805722.952705]"
137,"[1629504000000, 49195.87860189616]","[1629504000000, 923013359587.4719]","[1629504000000, 36497089236.87114]"
138,"[1629590400000, 48933.689151311635]","[1629590400000, 920750216465.3846]","[1629590400000, 42147725293.165855]"
139,"[1629676800000, 49250.54486971799]","[1629676800000, 925630106451.4792]","[1629676800000, 27110183703.24463]"
140,"[1629763200000, 49518.57748790696]","[1629763200000, 930729196214.2946]","[1629763200000, 35800255386.41374]"
141,"[1629849600000, 47940.6079149608]","[1629849600000, 902489541307.5308]","[1629849600000, 38387146174.87064]"
142,"[1629936000000, 49002.70376627545]","[1629936000000, 921328247353.5629]","[1629936000000, 33517327123.555378]"
143,"[1630022400000, 47229.070650876114]","[1630022400000, 887832142450.1957]","[1630022400000, 33774857002.92822]"
144,"[1630108800000, 49083.10330586219]","[1630108800000, 922969799298.9401]","[1630108800000, 34607868773.39842]"
145,"[1630195200000, 48936.537254142204]","[1630195200000, 920017911098.7555]","[1630195200000, 28491785397.365837]"
146,"[1630281600000, 48907.27073106221]","[1630281600000, 919515378468.8468]","[1630281600000, 26244843557.507874]"
147,"[1630368000000, 47124.25422469402]","[1630368000000, 885729258052.6316]","[1630368000000, 32326073271.91957]"
148,"[1630454400000, 47335.42029920565]","[1630454400000, 890014982634.8986]","[1630454400000, 34868965959.24512]"
149,"[1630540800000, 48823.05520964915]","[1630540800000, 918058330851.4829]","[1630540800000, 39060601275.21267]"
150,"[1630627200000, 49338.78465183332]","[1630627200000, 927323146557.2119]","[1630627200000, 39362789535.46043]"
151,"[1630713600000, 49934.5282762881]","[1630713600000, 937295558515.289]","[1630713600000, 42934455726.28852]"
152,"[1630800000000, 50013.02994694588]","[1630800000000, 940538655659.8085]","[1630800000000, 36985805206.72937]"
153,"[1630886400000, 51696.206431317885]","[1630886400000, 971284117138.44]","[1630886400000, 31765191430.17128]"
154,"[1630972800000, 52739.800166345514]","[1630972800000, 992868819862.2306]","[1630972800000, 37532574716.902405]"
155,"[1631059200000, 46995.16417095979]","[1631059200000, 881943904968.6511]","[1631059200000, 64010507329.271904]"
156,"[1631145600000, 46085.02861578186]","[1631145600000, 866885887154.3109]","[1631145600000, 48151104381.084854]"
157,"[1631232000000, 46518.94118660236]","[1631232000000, 876179332243.7437]","[1631232000000, 38581092903.84418]"
158,"[1631318400000, 44802.60640249699]","[1631318400000, 842222636395.4677]","[1631318400000, 38051987740.157684]"
159,"[1631404800000, 45196.488277558245]","[1631404800000, 849828231595.6722]","[1631404800000, 34160277726.441067]"
