,prices,market_caps,total_volumes
180,"[1635292800000, 27.869284684721134]","[1635292800000, 78034530.64257017]","[1635292800000, 2361914.3983151475]"
181,"[1635379200000, 25.67574072180854]","[1635379200000, 71701515.76403263]","[1635379200000, 1510886.478125221]"
182,"[1635465600000, 23.17008463211348]","[1635465600000, 64772994.05829849]","[1635465600000, 980262.4619497311]"
183,"[1635552000000, 23.069799968559362]","[1635552000000, 64400522.648932144]","[1635552000000, 601437.2335466675]"
184,"[1635638400000, 21.917799810773424]","[1635638400000, 61588271.38177073]","[1635638400000, 861582.3259867758]"
185,"[1635724800000, 21.349052851524373]","[1635724800000, 59901552.38387589]","[1635724800000, 723426.4174217887]"
186,"[1635811200000, 26.401976045310292]","[1635811200000, 74762504.16190253]","[1635811200000, 6272737.239106716]"
187,"[1635897600000, 23.863911132671337]","[1635897600000, 67004095.43013538]","[1635897600000, 1835733.686315904]"
188,"[1635984000000, 23.870786032879472]","[1635984000000, 67049652.481797]","[1635984000000, 467971.1459438724]"
189,"[1636070400000, 24.41508366148074]","[1636070400000, 68180404.49788415]","[1636070400000, 536031.5821337041]"
190,"[1636156800000, 23.020086559182104]","[1636156800000, 64583554.78774532]","[1636156800000, 852532.4969625307]"
191,"[1636243200000, 19.805341033947332]","[1636243200000, 55837771.805881284]","[1636243200000, 848661.8657623427]"
192,"[1636329600000, 20.276300924066124]","[1636329600000, 57112393.996804]","[1636329600000, 642076.7290569377]"
193,"[1636416000000, 21.47018140659975]","[1636416000000, 61454049.00432527]","[1636416000000, 2649286.271664852]"
194,"[1636502400000, 22.027873945055973]","[1636502400000, 62409448.086942114]","[1636502400000, 866220.9641766506]"
195,"[1636588800000, 23.56192875405093]","[1636588800000, 67083891.82540826]","[1636588800000, 1859921.493834939]"
196,"[1636675200000, 22.41928443937544]","[1636675200000, 63903256.69986414]","[1636675200000, 833325.7181574317]"
197,"[1636761600000, 19.313447293771087]","[1636761600000, 55215221.182283536]","[1636761600000, 1008570.6660003588]"
198,"[1636848000000, 19.591313905101003]","[1636848000000, 55879913.91260379]","[1636848000000, 1430792.5766901113]"
199,"[1636934400000, 19.416853339065778]","[1636934400000, 55439651.708716124]","[1636934400000, 453735.90604851826]"
